NFLID,Height,Weight,DOB,College
00-0026927,Mike Teel,230,1/6/1986,Rutgers
00-0033966,Bucky Hodges,257,8/8/1995,Virginia Military Inst.
00-0026925,Joe Burnett,184,11/28/1986,Central Florida
00-0026922,Fenuki Tupou,323,5/2/1985,Oregon
00-0026577,Marcus Thigpen,200,5/15/1986,Indiana
00-0026923,John Nalbone,255,5/14/1986,Monmouth (N.J.)
00-0026920,Macho Harris,200,2/16/1986,Virginia Tech
00-0026921,Cody Glenn,240,10/6/1986,Nebraska
00-0026570,Josh Gaines,274,9/27/1985,Penn State
00-0024223,Donte Whitner,208,7/24/1985,Ohio State
00-0024222,Michael Huff,211,3/6/1983,Texas
00-0024221,Vernon Davis,244,1/31/1984,Maryland
00-0024220,A.J. Hawk,240,1/6/1984,Ohio State
00-0024227,Haloti Ngata,345,1/21/1984,Oregon
00-0024226,Jay Cutler,231,4/29/1983,Vanderbilt
00-0024225,Matt Leinart,225,5/11/1983,USC
00-0024224,Ernie Sims,233,12/23/1984,Florida State
00-0026579,Kahlil Bell,219,12/10/1986,UCLA
00-0024229,Brodrick Bunkley,306,11/23/1983,Florida State
00-0024228,Kamerion Wimbley,258,10/13/1983,Florida State
00-0033438,Fadol Brown,282,4/15/1993,Mississippi
00-0033439,Pharaoh Brown,246,5/4/1994,Oregon
00-0033433,Thomas Sperbeck,187,10/21/1994,Boise State
00-0033430,Greg Mabin,200,6/25/1994,Iowa
00-0033431,Paul Magloire,210,12/16/1992,Arizona
00-0033436,Paul Boyette,310,12/16/1993,Texas
00-0033437,Chauncey Briggs,301,7/8/1994,Southern Methodist
00-0033434,Bobo Wilson,186,1/25/1995,Florida State
00-0033435,Breon Borders,189,7/22/1995,Duke
00-0023894,Donald Penn,340,4/27/1983,Utah State
00-0023890,Jason Hunter,270,8/28/1983,Appalachian State
00-0023893,Jayme Mitchell,285,3/15/1984,Mississippi
00-0021493,Vinny Ciurciu,240,5/2/1980,Boston College
00-0021490,Tony Brown,305,9/29/1980,Memphis
00-0021941,Gerald Hayes,250,10/10/1980,Pittsburgh
00-0021940,Josh Brown,202,4/29/1979,Nebraska
00-0024328,Victor Adeyanju,284,2/11/1983,Indiana
00-0024326,Demetrius Williams,202,3/28/1983,Oregon
00-0024327,Isaac Sowells,315,5/4/1982,Indiana
00-0024324,Jason Avant,210,4/20/1983,Michigan
00-0024325,Leon Williams,248,7/30/1983,Miami (Fla.)
00-0021949,Chris Johnson,200,9/25/1979,Louisville
00-0024323,Jahri Evans,318,8/22/1983,Bloomsburg
00-0024320,Ko Simpson,202,11/9/1983,South Carolina
00-0024321,Garrett Mills,235,10/12/1983,Tulsa
00-0022949,Stevie Baggs,240,12/30/1981,Bethune-Cookman
00-0022942,Philip Rivers,228,12/8/1981,North Carolina State
00-0022943,Benjamin Watson,251,12/18/1980,Georgia
00-0022944,Bob Sanders,206,2/24/1981,Iowa
00-0024594,Joe Newton,258,10/15/1983,Oregon State
00-0009687,Ty Law,200,2/10/1974,Michigan
00-0032265,Mario Edwards,280,1/25/1994,Florida State
00-0019706,Fred Robbins,322,3/26/1977,Wake Forest
00-0019700,Cornelius Griffin,303,12/3/1976,Alabama
00-0019702,Chad Clifton,320,6/26/1976,Tennessee
00-0012023,Jamar Nesbit,328,12/17/1976,South Carolina
00-0019709,Chris Redman,225,7/7/1977,Louisville
00-0032969,Nick Martin,300,4/29/1993,Notre Dame
00-0032968,Myles Jack,244,9/3/1995,UCLA
00-0028322,Demond Washington,182,9/30/1987,Auburn
00-0028323,Tom McCarthy,252,9/6/1988,Yale
00-0028320,Matt Hansen,230,9/10/1989,Rhode Island
00-0028453,Pat Devlin,220,4/12/1988,Delaware
00-0028454,Jonathan Freeny,255,6/15/1989,Rutgers
00-0028455,Nic Grigsby,199,12/26/1988,Arizona
00-0028456,Phillip Livas,179,4/24/1989,Louisiana Tech
00-0028457,Jose Perez,183,9/15/1985,San Diego State
00-0028458,Quinton Spears,230,5/11/1988,Prairie View A&M
00-0028459,Tim Atchison,200,9/27/1987,Baylor
00-0029493,Ryan Quigley,205,1/26/1990,Boston College
00-0029320,Tim Biere,260,9/10/1989,Kansas
00-0029491,Ben Bass,294,10/12/1989,Texas A&M
00-0029322,Jean Fanor,205,6/17/1989,Bethune-Cookman
00-0029324,Tysyn Hartman,206,8/9/1989,Kansas State
00-0029327,Brandon Kinnie,220,12/27/1988,Nebraska
00-0029494,Joe Anderson,196,11/21/1988,Texas Southern
00-0029329,Neiko Thorpe,210,2/1/1990,Auburn
00-0029328,Terrance Parks,218,4/14/1990,Florida State
00-0029499,Brandon Venson,245,2/17/1988,Illinois State
00-0024810,Cliff Louis,315,8/24/1984,Morgan State
00-0024812,Tyler Palko,215,8/9/1983,Pittsburgh
00-0024813,Pierre Thomas,215,12/18/1984,Illinois
00-0025497,John Bowie,190,5/11/1984,Cincinnati
00-0025496,Stephen Nicholas,236,5/1/1983,South Florida
00-0025495,Paul Soliai,345,12/30/1983,Utah
00-0025494,Antonio Pittman,195,12/19/1985,Ohio State
00-0025493,Tanard Jackson,193,7/21/1985,Syracuse
00-0025492,A.J. Davis,189,5/29/1983,North Carolina State
00-0025491,Jay Moore,256,8/16/1983,Nebraska
00-0025490,Isaiah Stanback,228,8/16/1984,Washington
00-0006101,Tony Gonzalez,247,2/27/1976,California
00-0025499,Daniel Sepulveda,230,1/12/1984,Baylor
00-0025498,Dwayne Wright,228,6/2/1983,Fresno State
00-0029145,Michael Smith,205,8/9/1988,Utah State
00-0029144,Tom Compton,313,5/10/1989,South Dakota
00-0029147,Drake Dunsmore,235,11/4/1988,Northwestern
00-0029146,J.R. Sweezy,298,4/8/1989,North Carolina State
00-0029141,Alfred Morris,222,12/12/1988,Florida Atlantic
00-0029140,Chris Rainey,180,3/2/1988,Florida
00-0029143,Josh Bush,205,3/5/1989,Wake Forest
00-0029142,Winston Guy,220,4/23/1990,Kentucky
00-0029149,Royce Pollard,175,6/3/1989,Hawaii
00-0029148,Sammy Brown,254,4/17/1990,Houston
00-0021746,Glenn Pakulak,220,4/9/1980,Kentucky
00-0026672,Ramon Humber,232,8/10/1987,North Dakota State
00-0026670,Adrian Grady,290,11/21/1985,Louisville
00-0026671,Brandon Harrison,197,11/6/1986,Michigan
00-0026677,Dan Gerberry,302,11/10/1985,Ball State
00-0026674,Jacob Lacey,183,5/28/1987,Oklahoma State
00-0026675,D.J. Boldin,210,6/20/1986,Wake Forest
00-0026678,John Gill,302,10/28/1986,Northwestern
00-0026679,Swayze Waters,181,5/18/1987,Alabama-Birmingham
00-0007213,Steve Heiden,270,9/21/1976,South Dakota State
00-0030499,Jarvis Jones,248,10/13/1989,Georgia
00-0021377,Ed Reed,205,9/11/1978,Miami (Fla.)
00-0026414,Darnell Jenkins,191,12/31/1982,Miami (Fla.)
00-0026413,Ryan Grice-Mullen,180,9/12/1986,Hawaii
00-0026410,Ernie Wheelwright,217,7/10/1984,Minnesota
00-0026411,Lorenzo Williams,310,10/23/1984,Missouri
00-0030491,Daimion Stafford,218,2/18/1991,Nebraska
00-0030490,Michael Bowie,330,9/25/1991,Northeastern State (Okla.)
00-0030493,Chase Clement,265,8/1/1989,LSU
00-0030495,Tommy Smith,240,11/19/1990,Boise State
00-0030497,Marcus Lattimore,221,10/29/1991,South Carolina
00-0030496,Le'Veon Bell,225,2/18/1992,Michigan State
00-0027235,Ross Ventrone,198,9/27/1986,Villanova
00-0027237,Dane Fletcher,245,9/14/1986,Montana State
00-0027236,Kyle Love,310,11/18/1986,Mississippi State
00-0027233,Terrence Johnson,195,7/5/1986,California (PA)
00-0027232,Sergio Brown,207,5/22/1988,Notre Dame
00-0027239,Da'Mon Cromartie-Smith,203,2/19/1987,Texas-El Paso
00-0033601,Lucas Crowley,269,9/7/1994,North Carolina
00-0033603,De'Chavon Hayes,192,7/18/1992,Arizona State
00-0033602,Ironhead Gallon,202,1/18/1994,Georgia Southern
00-0033604,Krishawn Hogan,222,5/12/1995,Marian (Ind.)
00-0033607,Trevor Knight,215,10/3/1993,Texas A&M
00-0033606,Tre'Von Johnson,235,2/10/1995,Weber State
00-0033609,Jonathan McLaughlin,313,10/27/1993,Virginia Tech
00-0033608,Ryan Lewis,200,4/15/1994,Pittsburgh
00-0009119,Reggie Kelly,257,2/22/1977,Mississippi State
00-0022771,Eugene Amano,300,3/1/1982,Southeast Missouri State
00-0022770,Derrick Ward,240,8/30/1980,Ottawa (Kans.)
00-0022779,Shawn Andrews,330,12/25/1982,Arkansas
00-0022778,Jonathan Vilma,230,4/16/1982,Miami (Fla.)
00-0026765,Pannel Egboh,277,3/23/1986,Stanford
00-0031470,Dayonne Nunley,184,12/10/1991,Miami (Ohio)
00-0031471,Rob Ruggiero,245,//,Bridgewater State
00-0031472,Cameron Fuller,175,//,New Mexico State
00-0031474,Delvin Breaux,210,10/25/1989,LSU
00-0032268,Marcus Mariota,222,10/30/1993,Oregon
00-0032269,Henry Anderson,301,8/3/1991,Stanford
00-0032261,Malcom Brown,320,2/2/1994,Texas
00-0032262,Landon Collins,218,1/10/1994,Alabama
00-0032263,Jeremiah Poutasi,330,8/7/1994,Utah
00-0023429,Rashied Davis,187,7/24/1979,San Jose State
00-0032267,Kevin Short,185,3/23/1992,Fort Scott CC KS
00-0031514,Quan Bray,183,4/28/1993,Auburn
00-0031512,Jermaine Whitehead,195,3/12/1993,Auburn
00-0031511,DeAndrew White,192,10/16/1991,Alabama
00-0031510,Dylan Thompson,218,10/25/1991,South Carolina
00-0031519,Josh Mitchell,161,1/7/1993,Nebraska
00-0030131,Andy Mulumba,260,1/31/1990,Eastern Michigan
00-0021578,Nic Clemons,300,2/3/1980,Georgia
00-0021577,Chris Clemons,255,10/30/1981,Georgia
00-0021570,Kassim Osgood,220,5/20/1980,San Diego State
00-0028848,Tyler Horn,305,3/1/1989,Miami (Fla.)
00-0028843,Andre Hardy,245,3/18/1987,Cal State-Fullerton
00-0028842,Hayden Smith,255,4/10/1985,Metro State
00-0028841,Will Johnson,240,11/14/1988,West Virginia
00-0028840,Nick Taylor,165,3/27/1988,Florida International
00-0028847,Pat Schiller,235,11/12/1988,Northern Illinois
00-0028846,Peyton Thompson,184,9/26/1990,San Jose State
00-0028845,Josh Harris,240,4/27/1989,Auburn
00-0027529,Harry Coleman,211,11/10/1985,LSU
00-0019714,Shane Lechler,240,8/7/1976,Texas A&M
00-0030709,Kadron Boone,204,9/13/1991,LSU
00-0030708,Karim Barton,313,12/13/1991,Morgan State
00-0027621,Jeffrey Fitzgerald,280,10/30/1987,Kansas State
00-0030701,A.J. Pataiali'i,319,9/13/1990,Utah State
00-0030700,Zach Orr,225,6/9/1992,North Texas
00-0030703,Sammy Seamster,205,2/5/1991,Middle Tennessee State
00-0030705,Juwan Thompson,225,5/13/1992,Duke
00-0030704,Brett Van Sloten,300,11/2/1990,Iowa
00-0030707,Blake Annen,247,5/28/1991,Cincinnati
00-0030706,Josh Andrews,311,6/21/1991,Oregon State
00-0027156,Tiquan Underwood,185,2/17/1987,Rutgers
00-0027527,Carlos Brown,212,4/28/1988,Michigan
00-0028159,Da'Rel Scott,210,5/26/1988,Maryland
00-0028158,Shaun Chapas,241,5/2/1988,Georgia
00-0022178,Willis McGahee,235,10/21/1981,Miami (Fla.)
00-0028151,Brandyn Thompson,185,10/30/1989,Boise State
00-0028150,Zach Clayton,299,1/1/1988,Auburn
00-0028153,D'Aundre Reed,260,1/1/1988,Arizona
00-0028152,Derek Newton,315,11/16/1987,Arkansas State
00-0022171,Kelley Washington,217,8/21/1979,Tennessee
00-0028154,Mikail Baker,205,6/19/1987,Baylor
00-0022173,William Joseph,310,9/3/1979,Miami (Fla.)
00-0028156,Ryan Taylor,254,11/16/1987,North Carolina
00-0021149,Albert Haynesworth,350,6/17/1981,Tennessee
00-0021148,Jeremy Shockey,251,8/18/1980,Miami (Fla.)
00-0021145,Levi Jones,307,8/24/1979,Arizona State
00-0021144,John Henderson,335,1/9/1979,Tennessee
00-0021147,Donte' Stallworth,200,11/10/1980,Tennessee
00-0021146,Dwight Freeney,268,2/19/1980,Syracuse
00-0021141,Joey Harrington,210,10/21/1978,Oregon
00-0021140,Julius Peppers,295,1/18/1980,North Carolina
00-0021143,Roy Williams,222,8/14/1980,Oklahoma
00-0021142,Mike Williams,337,1/11/1980,Texas
00-0030644,Akeem Davis,200,12/25/1989,Memphis
00-0029791,Ronnie Wingo,231,2/18/1991,Arkansas
00-0029792,Paul Worrilow,230,5/1/1990,Delaware
00-0029793,Brandon Williams,260,10/12/1987,Oregon
00-0029794,Daren Bates,225,11/27/1990,Auburn
00-0029795,Benny Cunningham,217,7/7/1990,Middle Tennessee State
00-0030642,Chad Rempel,229,5/23/1982,Saskatchewan (Canada)
00-0030643,Jacob Dombrowski,190,3/18/1991,Harvard
00-0029799,Lerentee McCray,249,8/26/1990,Florida
00-0030648,Alejandro Villanueva,320,9/22/1988,Army
00-0030649,Jonotthan Harrison,300,8/25/1991,Florida
00-0019573,Robaire Smith,310,11/15/1977,Michigan State
00-0026089,Maurice Leggett,188,10/2/1986,Valdosta State
00-0009323,Jimmy Kleinsasser,272,1/31/1977,North Dakota
00-0026081,Lance Leggett,205,2/11/1985,Miami (Fla.)
00-0026080,James Lee,308,8/17/1985,South Carolina State
00-0026084,Brian Schaefering,295,8/20/1983,Lindenwood
00-0027420,Terrell Hudgins,225,2/24/1987,Elon
00-0032467,Christian French,245,8/18/1992,Oregon
00-0027422,Danny McCray,215,3/10/1988,LSU
00-0032465,DeAndre Elliott,189,11/21/1992,Colorado State
00-0027424,Matt Nichols,222,3/19/1987,Eastern Washington
00-0032463,Kyle Peko,305,7/23/1993,Oregon State
00-0032460,Dwayne Norman,230,9/23/1993,Duke
00-0027427,Mike Tepper,354,12/11/1985,California
00-0027428,Nick Tow-Arnett,248,9/7/1984,Minnesota
00-0027429,Verran Tucker,204,6/26/1988,California
00-0027939,Cam Newton,245,5/11/1989,Auburn
00-0028445,Ron Parker,206,8/17/1987,Newberry
00-0025682,Lyle Sendlein,308,3/16/1984,Texas
00-0025681,Ricky Schmitt,217,8/17/1985,Shepherd
00-0028443,Mike Morgan,235,1/16/1988,USC
00-0025689,Mike DeVito,305,6/10/1984,Maine
00-0028334,Darrin Walls,190,6/20/1988,Notre Dame
00-0026333,Jaymar Johnson,183,7/10/1984,Jackson State
00-0026331,Paul Hubbard,218,6/12/1985,Wisconsin
00-0026330,Ahtyba Rubin,310,7/25/1986,Iowa State
00-0026337,Bo Ruud,234,9/2/1984,Nebraska
00-0026336,Tom Santi,250,11/22/1985,Virginia
00-0026335,Donald Thomas,303,9/25/1985,Connecticut
00-0026334,Ryan Mundy,209,2/11/1985,West Virginia
00-0026339,Robert Henderson,278,11/9/1983,Southern Mississippi
00-0026338,Andre Woodson,230,4/25/1984,Kentucky
00-0031226,Jansen Watson,177,9/14/1990,Iowa State
00-0032729,Ufomba Kamalu,300,11/2/1992,Miami (Fla.)
00-0032728,Tevin Jones,225,12/26/1992,Memphis
00-0032725,Stephen Anderson,230,1/30/1993,California
00-0032724,Bryce Treggs,185,4/30/1994,California
00-0032727,Joel Heath,295,6/18/1993,Michigan State
00-0032726,Ka'imi Fairbairn,190,1/29/1994,UCLA
00-0032721,John Lunsford,180,11/14/1993,Liberty
00-0032723,Norman Price,311,8/25/1994,Southern Mississippi
00-0032722,Blake Muir,309,5/10/1991,Baylor
00-0027684,Earl Mitchell,310,9/25/1987,Arizona
00-0027685,Emmanuel Sanders,180,3/17/1987,Southern Methodist
00-0027686,Corey Peters,305,6/8/1988,Kentucky
00-0027687,Jordan Shipley,188,12/23/1985,Texas
00-0027680,Major Wright,204,7/1/1988,Florida
00-0027681,Brandon LaFell,210,11/4/1986,LSU
00-0027682,Donald Butler,242,10/17/1988,Washington
00-0027683,J.D. Walton,310,3/24/1987,Baylor
00-0023676,Noah Herron,220,4/3/1982,Northwestern
00-0027688,Colt McCoy,215,9/5/1986,Texas
00-0027689,Daniel Te'o-Nesheim,263,6/12/1987,Washington
00-0031287,Aaron Murray,207,11/10/1990,Georgia
00-0031286,Arthur Lynch,252,6/17/1990,Georgia
00-0031285,Devonta Freeman,206,3/15/1992,Florida State
00-0031284,Travis Swanson,304,1/30/1991,Arkansas
00-0031283,Scott Crichton,273,10/30/1991,Oregon State
00-0031282,Justin Britt,315,5/29/1991,Missouri
00-0031281,Ra'Shede Hageman,318,8/8/1990,Minnesota
00-0031280,Derek Carr,215,3/28/1991,Fresno State
00-0031288,AJ McCarron,215,9/13/1990,Alabama
00-0032095,Brandon Cottom,262,12/21/1992,Purdue
00-0032094,Tyrell Adams,230,4/11/1992,West Georgia
00-0005113,Jeff Feagles,215,3/7/1966,Miami (Fla.)
00-0032098,Daniel Brown,247,5/26/1992,James Madison
00-0024793,Joe Porter,205,11/27/1985,Rutgers
00-0029312,Markus Kuhn,303,5/5/1986,North Carolina State
00-0029416,Brandon Boykin,173,7/13/1990,Georgia
00-0022177,Byron Leftwich,250,1/14/1980,Marshall
00-0014071,Allen Rossum,178,10/22/1975,Notre Dame
00-0028155,Maurice Hurt,329,11/8/1987,Florida
00-0028157,Malcolm Williams,205,11/22/1987,Texas Christian
00-0024245,Joseph Addai,214,5/3/1983,LSU
00-0024244,Nick Mangold,307,1/13/1984,Ohio State
00-0024247,Mathias Kiwanuka,267,3/8/1983,Boston College
00-0024246,Kelly Jennings,180,11/30/1982,Miami (Fla.)
00-0024241,John McCargo,307,8/19/1983,North Carolina State
00-0024240,Santonio Holmes,192,3/3/1984,Ohio State
00-0024243,Marcedes Lewis,280,5/19/1984,UCLA
00-0024242,DeAngelo Williams,207,4/25/1983,Memphis
00-0024249,D'Qwell Jackson,242,9/26/1983,Maryland
00-0024248,DeMeco Ryans,247,7/28/1984,Alabama
00-0033419,Alex Kozan,300,11/17/1993,Auburn
00-0033414,Eric Smith,321,9/2/1995,Virginia
00-0033415,Maurice Smith,197,6/14/1995,Georgia
00-0033416,Joby Saint Fleur,253,11/11/1992,Northwestern Oklahoma State
00-0033417,Damore'ea Stringfellow,222,10/18/1994,Mississippi
00-0033410,Cole Luke,200,6/30/1995,Notre Dame
00-0033411,Francis Owusu,210,12/27/1994,Stanford
00-0033412,Fred Ross,210,5/19/1995,Mississippi State
00-0033413,De'Veon Smith,221,11/8/1994,Michigan
00-0014619,Junior Seau,250,1/19/1969,USC
00-0021960,Jimmy Wilkerson,270,1/4/1981,Oklahoma
00-0024300,Brodie Croyle,206,2/6/1983,Alabama
00-0024301,David Thomas,248,7/5/1983,Texas
00-0024302,David Pittman,185,10/14/1983,Northwestern State-Louisiana
00-0024303,James Anderson,235,9/26/1983,Virginia Tech
00-0024304,Rashad Butler,310,2/10/1983,Miami (Fla.)
00-0024305,Maurice Stovall,220,2/21/1985,Notre Dame
00-0024306,Frostee Rucker,280,9/14/1983,USC
00-0024307,Jason Hatcher,299,7/13/1982,Grambling State
00-0024308,Dominique Byrd,255,2/7/1984,USC
00-0024309,Freddy Keiaho,226,12/18/1982,San Diego State
00-0030645,Cam White,251,7/15/1990,Hillsdale
00-0030646,Stephen Campbell,245,10/10/1990,West Virginia Wesleyan
00-0030647,Jordan Thompson,257,7/12/1989,Ohio U.
00-0001477,Marty Booker,205,7/31/1976,Louisiana-Monroe
00-0030640,Marcus Ball,215,7/21/1987,Memphis
00-0029796,Philip Lutzenkirchen,258,6/1/1991,Auburn
00-0029619,Jorvorskie Lane,258,2/4/1987,Texas A&M
00-0026788,Cyril Obiozor,249,9/26/1986,Texas A&M;
00-0029618,Corey Gatewood,190,7/13/1988,Stanford
00-0028305,Jock Sanders,185,6/14/1988,West Virginia
00-0028306,Detron Lewis,208,8/20/1989,Texas Tech
00-0028307,Drew Davis,205,1/4/1989,Oregon
00-0028300,Brian Bulcke,285,4/27/1987,Stanford
00-0028301,Doug Beaumont,187,12/11/1988,Louisville
00-0028302,Kirk Belgrave,205,1/29/1987,Kent State
00-0028303,Lucas Cox,245,11/24/1987,Georgia Tech
00-0028308,Raymond Webber,237,6/1/1989,Arkansas-Pine Bluff
00-0028309,Christian Yount,250,7/8/1988,UCLA
00-0020489,Andre Carter,260,5/12/1979,California
00-0020480,Sage Rosenfels,225,3/6/1978,Iowa State
00-0031702,Alani Fua,234,1/1/1992,Brigham Young
00-0031700,Cariel Brooks,200,4/24/1991,Adams State
00-0031706,Paul Lasike,258,6/18/1990,Brigham Young
00-0031707,Gabe Martin,236,6/5/1992,Bowling Green State
00-0031704,Edwin Jackson,234,12/19/1991,Georgia Southern
00-0022097,Brandon Lloyd,200,7/5/1981,Illinois
00-0022094,Montrae Holland,340,5/21/1980,Florida State
00-0022092,Chris Brown,235,4/17/1981,Colorado
00-0022093,Justin Fargas,220,1/25/1980,USC
00-0022090,Sam Williams,260,7/28/1980,Fresno State
00-0033252,James Quick,177,10/6/1994,Louisville
00-0033253,Tyler Catalina,325,1/24/1993,Georgia
00-0033250,Sae Tautu,245,6/30/1992,Brigham Young
00-0033251,Zach Pascal,219,12/18/1994,Old Dominion
00-0033256,Deyshawn Bond,299,8/19/1994,Cincinnati
00-0033257,Dalton Crossan,203,2/25/1994,New Hampshire
00-0033254,Brandon Banks,267,7/13/1994,North Carolina-Charlotte
00-0026654,Ryan McKee,308,11/4/1986,Southern Mississippi
00-0026655,Rob Myers,239,4/9/1986,Utah State
00-0029309,DeAngelo Tyson,315,4/12/1989,Georgia
00-0029308,Greg Scruggs,277,8/17/1990,Louisville
00-0026650,Britt Davis,215,4/23/1986,Northern Illinois
00-0026651,Keith Fitzhugh,205,11/11/1986,Mississippi State
00-0026652,Matt Kroul,300,2/25/1986,Iowa
00-0029303,Billy Winn,300,4/15/1989,Boise State
00-0029302,Matt McCants,309,8/18/1989,Alabama-Birmingham
00-0029300,Tommy Streeter,216,10/7/1989,Miami (Fla.)
00-0029307,Greg McCoy,187,9/8/1988,Texas Christian
00-0029306,Jerome Long,297,4/9/1990,San Diego State
00-0029305,D.J. Campbell,213,7/24/1989,California
00-0029304,Brad Nortman,214,9/12/1989,Wisconsin
00-0026438,Michael Grant,182,3/20/1986,Arkansas
00-0026432,Lance Ball,224,6/19/1985,Maryland
00-0021357,Rock Cartwright,215,12/3/1979,Kansas State
00-0029169,Chris Givens,203,1/28/1989,Miami (Ohio)
00-0029168,Brian Folkerts,310,1/30/1990,Washburn
00-0029167,A.J. Davis,183,7/6/1989,Jacksonville State
00-0029166,David Snow,303,11/9/1989,Texas
00-0029165,Tony Jerod-Eddie,301,3/29/1990,Texas A&M
00-0029164,Mike Remmers,310,4/11/1989,Oregon State
00-0029163,Delvin Johnson,324,8/21/1989,Marshall
00-0029162,Carson Wiggs,222,2/20/1990,Purdue
00-0029161,Lavasier Tuinei,220,9/29/1990,Oregon
00-0024495,Ahmad Brooks,259,3/14/1984,Virginia
00-0033629,Andy Phillips,209,5/18/1989,Utah
00-0033628,Marcus Sayles,175,10/1/1994,West Georgia
00-0033623,Keith Towbridge,262,5/21/1995,Louisville
00-0033622,Daikiel Shorts,202,10/6/1994,West Virginia
00-0033621,B.T. Sanders,195,6/29/1995,Nicholls State
00-0033620,Brandon Reilly,200,9/24/1993,Nebraska
00-0033627,Jason Croom,246,2/28/1994,Tennessee
00-0033626,Nigel Williams,297,12/20/1993,Virginia Tech
00-0033625,Zach Voytek,305,7/8/1994,New Haven
00-0023053,James Butler,218,9/7/1982,Georgia Tech
00-0027749,Zoltan Mesko,230,3/6/1986,Michigan
00-0027748,Hall Davis,270,3/2/1987,Louisiana-Lafayette
00-0027218,Joique Bell,231,8/4/1986,Wayne State (Mich.)
00-0027741,Cameron Sheffield,257,2/12/1988,Troy
00-0027743,Sherrick McManis,192,12/19/1987,Northwestern
00-0027742,Larry Hart,248,7/16/1987,Central Arkansas
00-0027745,Cam Thomas,330,12/12/1986,North Carolina
00-0027744,Nolan Carroll,202,1/18/1987,Maryland
00-0027747,Robert Johnson,206,2/13/1987,Utah
00-0027746,Mitch Petrus,315,5/11/1987,Arkansas
00-0020972,Billy Cundiff,212,3/30/1980,Drake
00-0020971,Khary Campbell,224,4/4/1979,Bowling Green State
00-0012871,Mike Peterson,226,6/17/1976,Florida
00-0026664,Tim Masthay,200,3/16/1987,Kentucky
00-0031492,Jason Myers,190,5/12/1991,Marist
00-0031493,Jarryd Hayne,220,2/15/1988,No College
00-0031491,Brian Peters,235,10/31/1988,Northwestern (Ia)
00-0023448,Thomas Davis,235,3/22/1983,Georgia
00-0023449,Derrick Johnson,242,11/22/1982,Texas
00-0023446,Shawne Merriman,261,5/25/1984,Maryland
00-0023447,Jammal Brown,317,3/30/1981,Oklahoma
00-0023444,Carlos Rogers,195,7/2/1981,Auburn
00-0023445,DeMarcus Ware,258,7/31/1982,Troy
00-0023442,Troy Williamson,203,4/30/1983,South Carolina
00-0023443,Antrel Rolle,206,12/16/1982,Miami (Fla.)
00-0023440,Cadillac Williams,218,4/21/1982,Auburn
00-0023441,Adam Jones,185,9/30/1983,West Virginia
00-0032284,Brad Bars,263,4/24/1992,Penn State
00-0021512,Quintin Mikell,205,9/16/1980,Boise State
00-0028829,Royce Adams,190,5/3/1988,Purdue
00-0028798,Richard Medlin,200,3/4/1987,Fayetteville State
00-0028825,Terrelle Pryor,228,6/20/1989,Ohio State
00-0028824,Tracy Wilson,203,2/27/1989,Northern Illinois
00-0028795,Chase Reynolds,205,10/22/1987,Montana
00-0028794,Phillip Davis,173,9/13/1988,Tulane
00-0028821,Harold Ayodele,329,4/9/1987,Emporia State
00-0028792,Kevin Cone,216,3/20/1988,Georgia Tech
00-0028823,Mike McAdoo,255,7/9/1990,North Carolina
00-0028822,Caleb King,212,1/10/1988,Georgia
00-0029744,Josh McNary,251,4/10/1988,Army
00-0030723,James Franklin,230,7/23/1991,Missouri
00-0030722,Jerome Couplin,215,8/31/1991,William & Mary
00-0030721,Alex Bullard,302,3/20/1991,Tennessee
00-0030720,Chad Abram,229,5/22/1991,Florida State
00-0030727,Jacob Maxwell,240,1/4/1991,Louisiana-Lafayette
00-0030725,Cornelius Lucas,330,7/18/1991,Kansas State
00-0030724,Justin Jackson,230,8/24/1991,Wake Forest
00-0030729,Andrew Peacock,190,1/14/1991,Appalachian State
00-0030728,D.J. Morrell,325,8/19/1991,Old Dominion
00-0028173,Jimmy Wilson,205,7/30/1986,Montana
00-0028172,Andrew Gachkar,224,11/4/1988,Missouri
00-0028171,Lawrence Guy,305,3/17/1990,Arizona State
00-0028170,Baron Batch,210,12/21/1987,Texas Tech
00-0028177,Mike Person,300,6/17/1988,Montana State
00-0028176,Daniel Hardy,249,9/7/1987,Idaho
00-0028175,Greg Lloyd,247,2/10/1989,Connecticut
00-0028174,Stephen Burton,224,12/11/1989,West Texas A&M
00-0033393,Kenny Moore,179,8/23/1995,Valdosta State
00-0033392,Harvey Langi,252,9/24/1992,Brigham Young
00-0028179,David Ausberry,250,9/25/1987,USC
00-0028178,Stanley Havili,243,11/14/1987,USC
00-0033397,Damarius Travis,215,4/19/1994,Minnesota
00-0033396,Jason Thompson,208,4/21/1994,Utah
00-0033395,Dwayne Thomas,201,8/22/1993,LSU
00-0022158,Donald Strickland,185,11/24/1980,Colorado
00-0021166,Josh Reed,210,5/1/1980,LSU
00-0021163,Jabar Gaffney,200,12/1/1980,Florida
00-0021162,Robert Thomas,235,7/17/1980,UCLA
00-0021161,Kendall Simmons,315,3/11/1979,Auburn
00-0030629,Jeremy Vujnovich,300,10/12/1990,Louisiana Coll.
00-0030626,Patrick Murray,182,6/22/1991,Fordham
00-0030622,Fred Williams,190,4/15/1988,St. Cloud State
00-0030621,Michael Ola,312,4/19/1988,Hampton
00-0021269,Aaron Kampman,260,11/30/1979,Iowa
00-0027932,Chris Carter,191,6/14/1987,California-Davis
